date,price,spot
06/03/2020,0.68,45.27
05/03/2020,2.31,49.99
04/03/2020,3.08,51.13
03/03/2020,3.64,51.86
02/03/2020,3.6,51.9
28/02/2020,2.36,50.52
27/02/2020,3.42,52.18
26/02/2020,4.12,53.43
25/02/2020,5.32,54.95
24/02/2020,6.44,56.3
21/02/2020,8.34,58.5
20/02/2020,9.1,59.31
19/02/2020,8.98,59.12
18/02/2020,7.9,57.75
17/02/2020,7.89,57.67
14/02/2020,7.7,57.32
13/02/2020,7.01,56.34
12/02/2020,6.6,55.79
11/02/2020,5.35,54.01
10/02/2020,5.05,53.27
07/02/2020,5.96,54.47
06/02/2020,6.33,54.93
05/02/2020,6.41,55.28
04/02/2020,5.57,53.96
03/02/2020,6.01,54.45
31/01/2020,7.46,58.16
30/01/2020,7.91,58.29
29/01/2020,8.91,59.81
28/01/2020,8.84,59.51
27/01/2020,8.67,59.32
24/01/2020,9.75,60.69
23/01/2020,11.01,62.04
22/01/2020,12.06,63.21
21/01/2020,13.34,64.59
20/01/2020,13.79,65.2
17/01/2020,13.53,64.85
16/01/2020,13.37,64.62
15/01/2020,12.84,64
14/01/2020,13.35,64.49
13/01/2020,13.16,64.2
10/01/2020,13.89,64.98
09/01/2020,14.3,65.37
08/01/2020,14.48,65.44
07/01/2020,17.08,68.27
06/01/2020,17.56,68.91
03/01/2020,17.26,68.6
02/01/2020,15.26,66.25
31/12/2019,15.01,66
30/12/2019,15.66,68.44
27/12/2019,15.78,68.16
26/12/2019,15.71,67.92
24/12/2019,15.19,67.2
23/12/2019,14.53,66.39
20/12/2019,14.35,66.14
19/12/2019,14.58,66.54
18/12/2019,14.28,66.17
17/12/2019,14.19,66.1
16/12/2019,13.59,65.34
13/12/2019,13.4,65.22
12/12/2019,12.55,64.2
11/12/2019,12.18,63.72
10/12/2019,12.79,64.34
09/12/2019,12.56,64.25
06/12/2019,12.63,64.39
05/12/2019,12.04,63.39
04/12/2019,11.96,63
03/12/2019,10.38,60.82
02/12/2019,10.51,60.92
29/11/2019,10.19,62.43
28/11/2019,12.46,63.87
27/11/2019,12.19,64.06
26/11/2019,12.37,64.27
25/11/2019,11.9,63.65
22/11/2019,11.62,63.39
21/11/2019,12.1,63.97
20/11/2019,11.03,62.4
19/11/2019,9.91,60.91
18/11/2019,11.06,62.44
15/11/2019,11.81,63.3
14/11/2019,11.11,62.28
13/11/2019,11.28,62.37
12/11/2019,11.07,62.06
11/11/2019,11.02,62.18
08/11/2019,11.26,62.51
07/11/2019,11.1,62.29
06/11/2019,10.7,61.74
05/11/2019,11.81,62.96
04/11/2019,11.27,62.13
01/11/2019,11,61.69
31/10/2019,9.37,60.23
30/10/2019,9.92,60.61
29/10/2019,10.88,61.59
28/10/2019,10.97,61.57
25/10/2019,11.39,62.02
24/10/2019,11.13,61.67
23/10/2019,10.89,61.17
22/10/2019,9.89,59.7
21/10/2019,9.44,58.96
18/10/2019,9.65,59.42
17/10/2019,9.93,59.91
16/10/2019,9.98,59.42
15/10/2019,9.63,58.74
14/10/2019,10.17,59.35
11/10/2019,10.78,60.51
10/10/2019,9.66,59.1
09/10/2019,9.14,58.32
08/10/2019,9.16,58.24
07/10/2019,9.17,58.35
04/10/2019,9.18,58.37
03/10/2019,8.75,57.71
02/10/2019,8.86,57.69
01/10/2019,9.55,58.89
30/09/2019,9.6,60.78
27/09/2019,10.65,61.91
26/09/2019,11.14,62.74
25/09/2019,11.09,62.39
24/09/2019,11.65,63.1
23/09/2019,12.64,64.77
20/09/2019,12.37,64.28
19/09/2019,12.63,64.4
18/09/2019,12.15,63.6
17/09/2019,12.97,64.55
16/09/2019,15.45,69.02
13/09/2019,10.17,60.22
12/09/2019,10.44,60.38
11/09/2019,10.76,60.81
10/09/2019,11.84,62.38
09/09/2019,11.96,62.59
06/09/2019,11.2,61.54
05/09/2019,10.9,60.95
04/09/2019,10.81,60.7
03/09/2019,9.05,58.26
02/09/2019,9.31,58.66
30/08/2019,9.74,60.43
29/08/2019,10.78,61.08
28/08/2019,10.18,60.49
27/08/2019,9.75,59.51
26/08/2019,9.15,58.7
23/08/2019,9.62,59.34
22/08/2019,10.18,59.92
21/08/2019,10.39,60.3
20/08/2019,10.27,60.03
19/08/2019,10.02,59.74
16/08/2019,9.54,58.64
15/08/2019,9.47,58.23
14/08/2019,10.41,59.48
13/08/2019,11.73,61.3
12/08/2019,9.84,58.57
09/08/2019,9.95,58.53
