"","FTSE","N225","GDAXI","DJI","FCHI","KS11","AEX","SSMI","IBEX","NSEI","MXX","STOXX50E"
"Garch",7.95724041135829e-08,3.35048773750678e-07,7.35403083973506e-08,5.02563259836569e-08,6.2961397923903e-08,5.85424325473279e-08,5.28654833262008e-08,6.30825543232062e-08,1.27954583706413e-07,2.16010881224612e-07,3.69167358544109e-08,1.38249980317037e-07
"EGarch",7.15575356226709e-08,3.25863986695026e-07,8.03976020799528e-08,3.88202461171717e-08,6.33334568484789e-08,6.98573712960301e-08,5.53959507689269e-08,5.43580654303997e-08,1.09768232124252e-07,1.79121255131804e-07,3.08776553200655e-08,1.41709236191807e-07
"RGarch_rvs",7.33022480693361e-08,3.2968276120662e-07,6.62216187345003e-08,4.44803411889504e-08,5.83559851701738e-08,5.32900215669078e-08,5.69001835657867e-08,5.71049056899761e-08,1.03405375507233e-07,2.20091520341393e-07,3.54848851506848e-08,1.31775353212458e-07
"RGarch_bvs",7.15614245407453e-08,3.16883418456805e-07,6.9478502059124e-08,4.35536862238437e-08,6.01847095331028e-08,5.41969486486685e-08,5.87905698916504e-08,6.05727391286611e-08,1.01863157436208e-07,2.11875241479324e-07,3.32630497915506e-08,1.34604038147792e-07
"RGarch_rk",7.38084307283341e-08,3.42510673110742e-07,6.85169087176278e-08,4.8361266048283e-08,5.87010969382063e-08,5.98425844956443e-08,5.89557608040821e-08,5.69350156302172e-08,1.0782870235335e-07,2.22754084020554e-07,3.37401403019871e-08,1.29907459531091e-07
"RW_rvs",1.1115687431336e-07,3.06934772730675e-07,7.95819141714838e-08,6.9613103656703e-08,7.67693158514171e-08,6.79518970827967e-08,6.33983990950946e-08,6.98901503314065e-08,1.20886022729976e-07,3.58795651682485e-07,5.44494571836272e-08,1.9233049395521e-07
"RW_bvs",8.74064944582502e-08,3.02199592404303e-07,6.5473497360967e-08,4.49720875782854e-08,6.77568707980138e-08,6.79042864169875e-08,6.39315303237904e-08,6.73410494989583e-08,1.07565603112034e-07,1.87286738545295e-07,3.85921244901024e-08,1.40559238862124e-07
"RW_rk",1.1965897996002e-07,4.7058701868267e-07,7.77216374700634e-08,5.2972140365221e-08,7.05039824410909e-08,6.27078870041826e-08,7.25666664584905e-08,8.84958771995482e-08,1.59770454520899e-07,3.42392937039705e-07,5.13513686417108e-08,2.02628242899876e-07
"MA_rvs",7.99014328538181e-08,3.39655616825407e-07,7.94423650381264e-08,4.82291079143407e-08,6.64601047781568e-08,6.88188879224633e-08,5.81358407820714e-08,5.88873613758365e-08,1.18263283028067e-07,2.60253078660024e-07,3.88057779611223e-08,1.48084293006039e-07
"MA_bvs",7.72046078439469e-08,3.40251792500649e-07,7.41202937122016e-08,4.09245427291268e-08,6.39318367458953e-08,6.86091783738656e-08,5.84291531630621e-08,5.83092237625958e-08,1.14033963000387e-07,2.17106779424657e-07,3.81257586733987e-08,1.39227178443006e-07
"MA_rk",8.04759847232471e-08,3.7454447541047e-07,8.08335036350463e-08,4.33570319773044e-08,6.54434291251962e-08,6.02794161449503e-08,5.92242554909051e-08,6.33320329110843e-08,1.26962936332288e-07,2.51366860226144e-07,3.70797929118006e-08,1.45306547658783e-07
"EW_rvs",7.72333635557334e-08,3.18748956904724e-07,6.69346224498292e-08,4.44665977206272e-08,5.96243606098888e-08,5.8495267486831e-08,5.28692186551272e-08,5.64056139142241e-08,1.08254480427455e-07,2.48275121567997e-07,3.71044984084171e-08,1.40595765457986e-07
"EW_bvs",7.45528744780765e-08,3.17989476013495e-07,6.1916249520929e-08,3.75582573839989e-08,5.7679968508866e-08,5.8567431957169e-08,5.36681929604295e-08,5.5930443836748e-08,1.04515268245344e-07,1.98405679863644e-07,3.70578733837521e-08,1.30980913451186e-07
"EW_rk",7.71827220807681e-08,3.41646684119644e-07,6.6106896072942e-08,3.97095192642789e-08,5.70242673910409e-08,5.12572941741476e-08,5.39878743144463e-08,6.11128183700526e-08,1.17952535775981e-07,2.43871241652304e-07,3.49154716031879e-08,1.37082694292354e-07
