"","FTSE","N225","GDAXI","DJI","FCHI","KS11","AEX","SSMI","IBEX","NSEI","MXX","STOXX50E"
"Garch",-8.39401896454803,-7.94061443397171,-8.00081494946288,-8.63952967451317,-7.91111861790588,-8.39422223024498,-8.1353079148868,-8.41745946271302,-7.63771492728878,-8.13969610317094,-8.45144064272269,-7.94078892006328
"EGarch",-8.39018337645857,-7.91520412047748,-7.9970680071407,-8.6635700176897,-7.89505309773918,-8.3431791246109,-8.11982623615882,-8.42107646802764,-7.64466064207863,-8.14050134259784,-8.45543230118035,-7.93437081859714
"RGarch_rvs",-8.42744644432936,-7.98017884023705,-8.04116627651358,-8.69251240249586,-7.95022661425304,-8.42790030098877,-8.17073879799449,-8.4651681042644,-7.67861144954856,-8.17660542156956,-8.45528128413444,-7.95219723192648
"RGarch_bvs",-8.43437977557651,-7.98074406831662,-8.04138302276848,-8.7027856472635,-7.94603082931251,-8.42815820035815,-8.16744113599082,-8.46178034489433,-7.67954430415901,-8.17595354636611,-8.46710141275961,-7.9391009030016
"RGarch_rk",-8.43032038406078,-7.95864430533137,-8.03720357949246,-8.68383404329176,-7.94584808380991,-8.41890273028636,-8.16331444739193,-8.45946942374253,-7.67574252852716,-8.1720021971738,-8.47729983250541,-7.96907889763021
"RW_rvs",-8.31716400719261,-7.90748915207166,-7.9785699163632,-8.59412265542515,-7.87946416570574,-8.37379054090915,-8.11529836812572,-8.45625480887777,-7.62931010247488,-8.09951980170223,-8.32693037377959,-5.45211093026232
"RW_bvs",-8.21182603655848,-7.83523479234384,-7.95157486238371,-8.50439878672173,-7.83025144311849,-8.33114516357391,-8.08230637931559,-8.43937540626763,-7.60520065508111,-8.04506982430478,-8.22785451667281,-0.365121628712642
"RW_rk",-8.29443719665471,-7.60235024829541,-7.90271262327372,-8.47859727491975,-7.69567341208655,-8.06998405236206,-7.92071663579931,-8.38856245084609,-7.51512483890908,-8.02870603528081,-8.25747827151231,-3.81855714875355
"MA_rvs",-8.40752361458732,-7.99398949595561,-8.03662696732816,-8.67961003251305,-7.93897669448141,-8.41172752851501,-8.15738833761669,-8.45620559329171,-7.66415216033466,-8.16174236107795,-8.45035586327558,-7.97501267099189
"MA_bvs",-8.31288333402048,-7.94493538715021,-8.02255056863447,-8.58973506451464,-7.92506610384687,-8.38675563211797,-8.14573796538339,-8.44919268552421,-7.64797544573868,-8.14934882733668,-8.36851446223943,-7.9435717586229
"MA_rk",-8.41242504774893,-7.9691502168988,-8.03127404188371,-8.67554023995936,-7.92049584283315,-8.38256716056526,-8.13778407632205,-8.4476612103932,-7.65724601774085,-8.15175692760929,-8.46639677539974,-7.96307793769586
"EW_rvs",-8.41930891850996,-8.00944760680958,-8.04679703029519,-8.70218772212554,-7.95107969888336,-8.4228441376224,-8.17272839486792,-8.4711174388606,-7.6766699016102,-8.17624345326359,-8.47030657347574,-7.98730644195245
"EW_bvs",-8.32926721022621,-7.96414990129904,-8.03427945705765,-8.62414089153594,-7.93750659423857,-8.39917821273964,-8.16204007780787,-8.46411456082095,-7.66358456507598,-8.16385833065941,-8.38701000572736,-7.96168846943135
"EW_rk",-8.42352740515078,-7.97745044997657,-8.04051146758601,-8.69533218980352,-7.9350293328181,-8.39177839416734,-8.15507064939231,-8.46312678203653,-7.66988997651495,-8.16815893766752,-8.48353174651245,-7.97285560007666
