"","FTSE","N225","GDAXI","DJI","FCHI","KS11","AEX","SSMI","IBEX","NSEI","MXX","STOXX50E","mean"
"Garch",8,10,10,9,10,7,10,13,11,11,8,9,10
"EGarch",9,11,11,8,11,12,11,12,10,10,6,11,11
"RGarch_rvs",3,4,3,4,2,2,2,2,2,1,7,7,3
"RGarch_bvs",1,3,2,1,3,1,3,5,1,3,4,10,2
"RGarch_rk",2,8,5,5,4,4,4,6,4,4,2,4,4
"RW_rvs",11,12,12,11,12,11,12,7,12,12,12,12,12
"RW_bvs",14,13,13,13,13,13,13,11,13,13,14,14,13
"RW_rk",13,14,14,14,14,14,14,14,14,14,13,13,14
"MA_rvs",7,2,6,6,5,5,6,8,6,7,9,2,6
"MA_bvs",12,9,9,12,8,9,8,9,9,9,11,8,9
"MA_rk",6,6,8,7,9,10,9,10,8,8,5,5,8
"EW_rvs",5,1,1,2,1,3,1,1,3,2,3,1,1
"EW_bvs",10,7,7,10,6,6,5,3,7,6,10,6,7
"EW_rk",4,5,4,3,7,8,7,4,5,5,1,3,5
